name,type,amphoe_id,id
องค์การบริหารส่วนตำบลด่านเกวียน,อบต.,3007,3007012
เทศบาลตำบลด่านขุนทด,เทศบาลตำบล,3008,3008001
เทศบาลตำบลหนองกราด,เทศบาลตำบล,3008,3008002
เทศบาลตำบลหนองบัวตะเกียด,เทศบาลตำบล,3008,3008003
องค์การบริหารส่วนตำบลกุดพิมาน,อบต.,3008,3008004
องค์การบริหารส่วนตำบลด่านขุนทด,อบต.,3008,3008005
องค์การบริหารส่วนตำบลด่านนอก,อบต.,3008,3008006
องค์การบริหารส่วนตำบลด่านใน,อบต.,3008,3008007
องค์การบริหารส่วนตำบลตะเคียน,อบต.,3008,3008008
องค์การบริหารส่วนตำบลบ้านเก่า,อบต.,3008,3008009
องค์การบริหารส่วนตำบลบ้านแปรง,อบต.,3008,3008010
องค์การบริหารส่วนตำบลพันชนะ,อบต.,3008,3008011
องค์การบริหารส่วนตำบลสระจรเข้,อบต.,3008,3008012
องค์การบริหารส่วนตำบลหนองกราด,อบต.,3008,3008013
องค์การบริหารส่วนตำบลหนองบัวละคร,อบต.,3008,3008014
องค์การบริหารส่วนตำบลหินดาด,อบต.,3008,3008015
องค์การบริหารส่วนตำบลห้วยบง,อบต.,3008,3008016
องค์การบริหารส่วนตำบลโนนเมืองพัฒนา,อบต.,3008,3008017
องค์การบริหารส่วนตำบลหนองไทร,อบต.,3008,3008018
เทศบาลตำบลโนนไทย,เทศบาลตำบล,3009,3009001
เทศบาลตำบลโคกสวาย,เทศบาลตำบล,3009,3009002
เทศบาลตำบลบัลลังก์,เทศบาลตำบล,3009,3009003
องค์การบริหารส่วนตำบลโนนไทย,อบต.,3009,3009004
องค์การบริหารส่วนตำบลด่านจาก,อบต.,3009,3009005
องค์การบริหารส่วนตำบลกำปัง,อบต.,3009,3009006
องค์การบริหารส่วนตำบลสำโรง,อบต.,3009,3009007
องค์การบริหารส่วนตำบลค้างพลู,อบต.,3009,3009008
องค์การบริหารส่วนตำบลบ้านวัง,อบต.,3009,3009009
องค์การบริหารส่วนตำบลสายออ,อบต.,3009,3009010
องค์การบริหารส่วนตำบลถนนโพธิ์,อบต.,3009,3009011
องค์การบริหารส่วนตำบลมะค่า,อบต.,3009,3009012
เทศบาลตำบลโนนสูง,เทศบาลตำบล,3010,3010001
เทศบาลตำบลดอนหวาย,เทศบาลตำบล,3010,3010002
เทศบาลตำบลตลาดแค,เทศบาลตำบล,3010,3010003
เทศบาลตำบลมะค่า,เทศบาลตำบล,3010,3010004
เทศบาลตำบลด่านคล้า,เทศบาลตำบล,3010,3010005
เทศบาลตำบลใหม่,เทศบาลตำบล,3010,3010006
องค์การบริหารส่วนตำบลโตนด,อบต.,3010,3010007
องค์การบริหารส่วนตำบลบิง,อบต.,3010,3010008
องค์การบริหารส่วนตำบลดอนชมพู,อบต.,3010,3010009
องค์การบริหารส่วนตำบลธารปราสาท,อบต.,3010,3010010
องค์การบริหารส่วนตำบลหลุมข้าว,อบต.,3010,3010011
องค์การบริหารส่วนตำบลพลสงคราม,อบต.,3010,3010012
องค์การบริหารส่วนตำบลจันอัด,อบต.,3010,3010013
องค์การบริหารส่วนตำบลขามเฒ่า,อบต.,3010,3010014
องค์การบริหารส่วนตำบลลำคอหงษ์,อบต.,3010,3010015
องค์การบริหารส่วนตำบลเมืองปราสาท,อบต.,3010,3010016
องค์การบริหารส่วนตำบลลำมูล,อบต.,3010,3010017
เทศบาลตำบลขามสะแกแสง,เทศบาลตำบล,3011,3011001
เทศบาลตำบลหนองหัวฟาน,เทศบาลตำบล,3011,3011002
เทศบาลตำบลโนนเมือง,เทศบาลตำบล,3011,3011003
องค์การบริหารส่วนตำบลขามสะแกแสง,อบต.,3011,3011004
องค์การบริหารส่วนตำบลเมืองนาท,อบต.,3011,3011005
องค์การบริหารส่วนตำบลชีวึก,อบต.,3011,3011006
องค์การบริหารส่วนตำบลพะงาด,อบต.,3011,3011007
องค์การบริหารส่วนตำบลหนองหัวฟาน,อบต.,3011,3011008
องค์การบริหารส่วนตำบลเมืองเกษตร,อบต.,3011,3011009
เทศบาลเมืองบัวใหญ่,เทศบาลเมือง,3012,3012001
เทศบาลตำบลหนองบัวสะอาด,เทศบาลตำบล,3012,3012002
องค์การบริหารส่วนตำบลบัวใหญ่,อบต.,3012,3012003
องค์การบริหารส่วนตำบลห้วยยาง,อบต.,3012,3012004
องค์การบริหารส่วนตำบลเสมาใหญ่,อบต.,3012,3012005
องค์การบริหารส่วนตำบลดอนตะหนิน,อบต.,3012,3012006
องค์การบริหารส่วนตำบลโนนทองหลาง,อบต.,3012,3012007
องค์การบริหารส่วนตำบลกุดจอก,อบต.,3012,3012008
องค์การบริหารส่วนตำบลด่านช้าง,อบต.,3012,3012009
องค์การบริหารส่วนตำบลขุนทอง,อบต.,3012,3012010
องค์การบริหารส่วนตำบลหนองแจ้งใหญ่,อบต.,3012,3012011
เทศบาลตำบลประทาย,เทศบาลตำบล,3013,3013001
องค์การบริหารส่วนตำบลประทาย,อบต.,3013,3013002
องค์การบริหารส่วนตำบลกระทุ่มราย,อบต.,3013,3013003
องค์การบริหารส่วนตำบลวังไม้แดง,อบต.,3013,3013004
องค์การบริหารส่วนตำบลตลาดไทร,อบต.,3013,3013005
องค์การบริหารส่วนตำบลหนองค่าย,อบต.,3013,3013006
องค์การบริหารส่วนตำบลหันห้วยทราย,อบต.,3013,3013007
องค์การบริหารส่วนตำบลดอนมัน,อบต.,3013,3013008
องค์การบริหารส่วนตำบลนางรำ,อบต.,3013,3013009
องค์การบริหารส่วนตำบลโนนเพ็ด,อบต.,3013,3013010
องค์การบริหารส่วนตำบลทุ่งสว่าง,อบต.,3013,3013011
องค์การบริหารส่วนตำบลโคกกลาง,อบต.,3013,3013012
องค์การบริหารส่วนตำบลเมืองโดน,อบต.,3013,3013013
เทศบาลเมืองเมืองปัก,เทศบาลเมือง,3014,3014001
เทศบาลตำบลปักธงชัย,เทศบาลตำบล,3014,3014002
เทศบาลตำบลตะขบ,เทศบาลตำบล,3014,3014003
เทศบาลตำบลนกออก,เทศบาลตำบล,3014,3014004
เทศบาลตำบลบ่อปลาทอง,เทศบาลตำบล,3014,3014005
เทศบาลตำบลลำนางแก้ว,เทศบาลตำบล,3014,3014006
องค์การบริหารส่วนตำบลตะคุ,อบต.,3014,3014007
